date,latitude,longitude,elevation,slope,forest_density,water_distance,temperature,precipitation,wind_speed,animal_present
2024-10-11,38.245784032073175,-105.9579265750926,2445.0,45.0,0.5,1000.0,24.778117397511245,0.5620864312863955,9.440221988460422,1
2024-01-16,37.82881589979672,-105.81475839792064,2000.0,45.0,0.5,1000.0,7.609266293798017,2.1140983607959023,0.39169662508274955,1
2024-09-11,37.87502788345573,-105.94004843625504,2000.0,45.0,0.5,1000.0,13.329612962855897,3.798050849864621,4.017602480116406,1
2024-11-17,37.809997134721826,-105.89812413514977,2000.0,45.0,0.5,1000.0,7.838884091551778,1.676253592531252,3.0050708289818,1
2024-04-02,38.23371685057221,-105.97704730047997,2472.0,0.0,0.5,1000.0,26.052074673426656,2.764491160080636,1.2410783087094577,0
2024-04-22,37.511981506161455,-106.00495275793145,2312.0,45.0,0.5,1000.0,25.61664392980782,3.5801241572617,4.485651067756721,0
2024-12-26,37.850678603156,-106.19786412277494,2000.0,45.0,0.5,1000.0,22.844363066709093,1.866186424791424,1.5063638757697482,1
2024-03-05,37.94982545250702,-105.92242486158612,2000.0,45.0,0.5,1000.0,13.154560956109165,1.6488862204487158,1.8750217450905171,1
2024-10-25,37.88511304071575,-106.46799494607372,2000.0,45.0,0.5,1000.0,9.671591975519656,2.9286020364242518,4.386494316142615,0
2024-06-23,37.60479455843004,-105.68316779882856,2000.0,45.0,0.5,1000.0,22.952190961147643,10.655523903748625,2.2344240409523004,0
2024-10-15,38.23838834428128,-105.9085691847276,2392.0,45.0,0.5,1000.0,27.547981401045394,1.3587435754509123,3.4699035338700424,0
2024-01-13,38.19837621431622,-106.05174404894247,2000.0,45.0,0.5,1000.0,30.08767786434211,4.425969521159217,4.860548116094069,0
2024-12-08,38.246861596017496,-106.29071986122338,2000.0,45.0,0.5,1000.0,28.125325047465815,1.1536635158287394,4.191133514364176,1
2024-03-18,37.747115009440016,-106.12964733345541,2000.0,45.0,0.5,1000.0,15.3793113359648,10.303147043564998,3.3270998054094463,0
2024-03-01,38.18547926652571,-106.39650007690416,2000.0,45.0,0.5,1000.0,19.12755674733775,9.167060169429567,2.785617763318557,0
2024-12-05,37.90637771931052,-105.56307662238305,2000.0,45.0,0.5,1000.0,13.572872942163858,2.2360052568245194,6.877917331862853,0
2024-09-23,38.367106786953514,-106.0879541438808,2000.0,45.0,0.5,1000.0,32.29275940894242,3.3133815738622046,10.888437862764613,0
2024-10-09,38.409361013863624,-106.07325095325602,2000.0,45.0,0.5,1000.0,11.865678020944372,2.259052745716806,7.591698970874161,1
2024-11-16,37.770239441105815,-106.12673826524522,2000.0,45.0,0.5,1000.0,23.457784359185318,0.02752170542012726,13.013618742910117,1
2024-07-02,37.78945476977117,-106.28148088291292,2000.0,45.0,0.5,1000.0,24.96499975088472,9.985240332370264,3.116017304610563,0
2024-02-02,38.10436494753994,-105.54465366133775,2526.0,45.0,0.5,1000.0,16.709091383853345,0.48429731920350266,4.691227633464522,0
2024-07-02,37.97392361926534,-106.28906206093292,2000.0,45.0,0.5,1000.0,26.438694361696804,0.5434197512681189,0.3156549417098882,0
2024-07-17,37.82310480568419,-105.69488619914522,2000.0,45.0,0.5,1000.0,20.458111333988747,0.25063507637993787,9.38497151250697,0
2024-02-05,38.19858073198044,-106.04952086864812,2000.0,45.0,0.5,1000.0,13.733269195015515,4.512236751313895,3.492314381093786,0
2024-09-05,38.12661904678865,-106.16166235273919,2000.0,45.0,0.5,1000.0,12.017714406223744,4.178076785964297,3.159131158179905,0
2024-12-25,38.38477508005423,-106.44272197328385,2000.0,45.0,0.5,1000.0,9.542114574830205,1.5282015438344108,3.246002926673672,1
2024-02-24,37.62088380033057,-105.68583829682589,2294.0,0.0,0.5,1000.0,24.45638949708935,1.9139169008662464,7.3908288287862245,1
2024-02-21,37.55608161805773,-106.14679890247277,2335.0,45.0,0.5,1000.0,12.255556394279978,3.446400537696372,4.403603237769935,0
2024-09-03,37.59751917733004,-105.61101068076673,2000.0,45.0,0.5,1000.0,21.09149426391016,1.6397218192742473,2.5728684247529205,1
2024-04-14,37.67912804956153,-106.05469519105614,2000.0,45.0,0.5,1000.0,40.4443566167356,5.397168832253633,1.1659519294083858,1
2024-03-16,38.16815478129317,-106.128219278988,2000.0,45.0,0.5,1000.0,13.877705300320748,0.6186873939815529,8.872760464696263,0
2024-06-07,38.34012058404811,-105.52561269800543,2000.0,45.0,0.5,1000.0,3.777841973546634,12.417382015723373,5.240296542929477,1
2024-02-28,37.99075989369934,-105.59383636728604,3946.0,45.0,0.5,1000.0,17.667332969595233,2.881459337817731,2.4254729004695395,0
